STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130701,0.84,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130702,0.08,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130703,0.53,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130704,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130705,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130706,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130707,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130708,0.22,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130709,0.23,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130710,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130711,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130712,0.25,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130713,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130714,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130715,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130716,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130717,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130718,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130719,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130720,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130721,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130722,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130723,0.31,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130724,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130725,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130726,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130727,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130728,0.24,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130729,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130730,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130731,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130801,0.65,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130802,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130803,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130804,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130805,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130806,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130807,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130808,0.46,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130809,0.05,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130810,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130811,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130812,0.05,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130813,0.85,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130814,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130815,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130816,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130817,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130818,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130819,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130820,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130821,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130822,0.25,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130823,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130824,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130825,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130826,0.04,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130827,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130828,0.43,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130829,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130830,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130831,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130901,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130902,0.05,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130903,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130904,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130905,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130906,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130907,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130908,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130909,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130910,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130911,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130912,1.60,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130913,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130914,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130915,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130916,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130917,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130918,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130919,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130920,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130921,0.72,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130922,0.45,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130923,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130924,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130925,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130926,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130927,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130928,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130929,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130930,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131001,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131002,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131003,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131004,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131005,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131006,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131007,0.25,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131008,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131009,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131010,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131011,0.02,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131012,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131013,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131014,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131015,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131016,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131017,0.02,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131018,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131019,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131020,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131021,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131022,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131023,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131024,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131025,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131026,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131027,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131028,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131029,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131030,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131031,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131101,0.13,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131102,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131103,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131104,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131105,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131106,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131107,0.13,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131108,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131109,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131110,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131111,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131112,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131113,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131114,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131115,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131116,0.05,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131117,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131118,0.22,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131119,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131120,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131121,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131122,0.07,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131123,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131124,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131125,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131126,0.51,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131127,1.98,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131128,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131129,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131130,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131201,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131202,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131203,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131204,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131205,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131206,0.73,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131207,0.14,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131208,0.08,0.0,0.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131209,0.30,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131210,0.23,0.0,1.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131211,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131212,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131213,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131214,0.73,0.0,5.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131215,0.72,3.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131216,0.00,3.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131217,0.19,3.1,1.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131218,0.00,3.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131219,0.00,3.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131220,0.00,3.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131221,0.01,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131222,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131223,0.51,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131224,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131225,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131226,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131227,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131228,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131229,1.20,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131230,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131231,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140101,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140102,0.33,0.0,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140103,0.29,5.9,3.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140104,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140105,0.14,3.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140106,0.36,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140107,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140108,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140109,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140110,0.11,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140111,0.50,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140112,0.05,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140113,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140114,0.38,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140115,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140116,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140117,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140118,0.07,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140119,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140120,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140121,0.46,0.0,11.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140122,0.02,11.0,0.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140123,0.00,7.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140124,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140125,0.04,3.9,1.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140126,0.00,3.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140127,0.00,3.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140128,0.00,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140129,0.04,2.0,0.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140130,0.00,1.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140131,0.00,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140201,0.00,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140202,0.00,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140203,1.17,1.2,8.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140204,0.00,7.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140205,1.43,9.1,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140206,0.00,9.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140207,0.00,9.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140208,0.00,9.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140209,0.10,7.9,1.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140210,0.00,9.8,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140211,0.00,9.8,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140212,0.00,9.8,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140213,1.78,11.8,9.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140214,0.30,18.1,3.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140215,0.13,18.1,1.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140216,0.00,18.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140217,0.00,16.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140218,0.16,18.1,1.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140219,0.26,16.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140220,0.03,15.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140221,0.09,13.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140222,0.00,9.8,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140223,0.00,9.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140224,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140225,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140226,0.03,5.9,0.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140227,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140228,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140301,0.00,5.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140302,0.00,5.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140303,0.04,5.1,0.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140304,0.00,5.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140305,0.00,3.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140306,0.00,3.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140307,0.00,3.9,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140308,0.00,3.1,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140309,0.00,2.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140310,0.00,1.2,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140311,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140312,0.35,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140313,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140314,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140315,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140316,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140317,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140318,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140319,0.92,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140320,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140321,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140322,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140323,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140324,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140325,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140326,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140327,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140328,0.04,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140329,1.81,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140330,0.35,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20140331,0.16,0.0,0.0
